date,cat,count,text
17/01/2018,economic,8198159.761,Some text
18/01/2018,economic,8206661.764,Some text
19/01/2018,economic,8206063.698,Some text
21/01/2018,economic,8205465.632,Some text
22/01/2018,economic,8228081.117,Some text
24/01/2018,economic,41295992.61,Some text
25/01/2018,economic,24802929.69,Some text
29/01/2018,economic,16532271.71,Some text
31/01/2018,economic,16540060.67,Some text
5/02/2018,economic,8269125.352,Some text
6/02/2018,economic,16536440.74,Some text
7/02/2018,economic,8267315.387,Some text
8/02/2018,economic,8274388.11,Some text
12/02/2018,economic,8281442.307,Some text
13/02/2018,economic,33123436.88,Some text
14/02/2018,economic,8286730.495,Some text
20/02/2018,economic,8293467.025,Some text
22/02/2018,economic,16598320.02,Some text
26/02/2018,economic,8298250.913,Some text
1/03/2018,economic,24905793.61,Some text
2/03/2018,economic,8367490.527,Some text
3/03/2018,economic,8366879.226,Some text
5/03/2018,economic,8392049.715,Some text
6/03/2018,economic,8399399.049,Some text
7/03/2018,economic,8416283.568,Some text
9/03/2018,economic,33837965.8,Some text
13/03/2018,economic,8467846.306,Some text
14/03/2018,economic,8504807.479,Some text
15/03/2018,economic,8504185.692,Some text
16/03/2018,economic,17145484.68,Some text
20/03/2018,economic,34296415.43,Some text
21/03/2018,economic,8572536.093,Some text
22/03/2018,economic,17175277.33,Some text
23/03/2018,economic,8624336.641,Some text
27/03/2018,economic,8659620.522,Some text
3/04/2018,economic,17421028.16,Some text
4/04/2018,economic,43833939.38,Some text
5/04/2018,economic,8791543.004,Some text
10/04/2018,economic,8790899.312,Some text
13/04/2018,economic,17601645.24,Some text
16/04/2018,economic,17708721.6,Some text
20/04/2018,economic,17720925.95,Some text
23/04/2018,economic,26587617.82,Some text
24/04/2018,economic,8865401.309,Some text
25/04/2018,economic,8864751.686,Some text
30/04/2018,economic,17727554.5,Some text
2/05/2018,economic,8889397.425,Some text
3/05/2018,economic,26730883.82,Some text
8/05/2018,economic,17873785.84,Some text
9/05/2018,economic,8935910.014,Some text
10/05/2018,economic,8946479.501,Some text
14/05/2018,economic,8945823.408,Some text
16/05/2018,economic,8994523.809,Some text
17/05/2018,economic,8996034.662,Some text
18/05/2018,economic,9003124.065,Some text
24/05/2018,economic,18037788.41,Some text
29/05/2018,economic,9019806.228,Some text
30/05/2018,economic,18394009.69,Some text
31/05/2018,economic,46480806.77,Some text
5/06/2018,economic,9341085.145,Some text
6/06/2018,economic,18711749.83,Some text
13/06/2018,economic,9493625.505,Some text
14/06/2018,economic,9492928.367,Some text
15/06/2018,economic,9492231.229,Some text
19/06/2018,economic,19002570.68,Some text
20/06/2018,economic,9528322.62,Some text
21/06/2018,economic,19054545.41,Some text
25/06/2018,economic,9526222.792,Some text
26/06/2018,economic,67011511.22,Some text
29/06/2018,economic,28894777.26,Some text
2/07/2018,economic,9637418.85,Some text
5/07/2018,economic,9668570.113,Some text
9/07/2018,economic,19335007.14,Some text
11/07/2018,economic,19332163.02,Some text
12/07/2018,economic,9665014.968,Some text
13/07/2018,economic,9689922.926,Some text
16/07/2018,economic,9689210.012,Some text
23/07/2018,economic,9688497.098,Some text
24/07/2018,economic,9687784.185,Some text
27/07/2018,economic,9687071.271,Some text
31/07/2018,economic,9686358.357,Some text
1/08/2018,economic,9685645.444,Some text
2/08/2018,economic,29172300.45,Some text
3/08/2018,economic,19469312.35,Some text
9/08/2018,economic,19515022.39,Some text
14/08/2018,economic,9756433.374,Some text
15/08/2018,economic,9755714.827,Some text
27/08/2018,economic,9754996.279,Some text
28/08/2018,economic,9754277.732,Some text
31/08/2018,economic,9753559.185,Some text
3/09/2018,economic,9803766.056,Some text
6/09/2018,economic,29467938.76,Some text
7/09/2018,economic,9831360.684,Some text
12/09/2018,economic,9872243.753,Some text
17/09/2018,economic,9871516.14,Some text
21/09/2018,economic,9899586.637,Some text
24/09/2018,economic,9898856.902,Some text
26/09/2018,economic,19795524.6,Some text
28/09/2018,economic,9896667.696,Some text
1/10/2018,economic,19841676.51,Some text
9/10/2018,economic,9919740.855,Some text
17/10/2018,economic,39685767.65,Some text
19/10/2018,economic,19928490.68,Some text
24/10/2018,economic,9963555.756,Some text
26/10/2018,economic,9962820.547,Some text
29/10/2018,economic,19958065.28,Some text
30/10/2018,economic,9995242.175,Some text
31/10/2018,economic,30104951.26,Some text
5/11/2018,economic,10054109.93,Some text
7/11/2018,economic,20105992.87,Some text
9/11/2018,economic,10051882.94,Some text
12/11/2018,economic,10067584.01,Some text
15/11/2018,economic,10066840.46,Some text
19/11/2018,economic,10066096.92,Some text
22/11/2018,economic,20175435.21,Some text
26/11/2018,economic,10086599.77,Some text
27/11/2018,economic,10094189.51,Some text
29/11/2018,economic,20230377.21,Some text
7/12/2018,economic,10136184.43,Some text
10/12/2018,economic,10135435.32,Some text
