date,cat,count,text
2017-05-03,economic,23625911.67,Some text
2017-05-04,economic,5933427.31,Some text
2017-05-08,economic,11865579.16,Some text
2017-05-09,economic,17849531.21,Some text
2017-05-11,economic,18039239.69,Some text
2017-05-12,economic,18222420.04,Some text
2017-05-15,economic,24684445.02,Some text
2017-05-17,economic,6189465.99,Some text
2017-05-18,economic,12395167.87,Some text
2017-05-22,economic,6222299.91,Some text
2017-05-23,economic,18796808.88,Some text
2017-05-24,economic,6274356.01,Some text
2017-05-25,economic,12594290.20,Some text
2017-05-26,economic,12592482.17,Some text
2017-05-29,economic,6319153.86,Some text
2017-05-31,economic,19149276.49,Some text
2017-06-02,economic,6392906.94,Some text
2017-06-05,economic,6407393.34,Some text
2017-06-06,economic,12813406.08,Some text
2017-06-07,economic,19226983.32,Some text
2017-06-08,economic,19233857.94,Some text
2017-06-13,economic,12834674.87,Some text
2017-06-14,economic,12832829.94,Some text
2017-06-15,economic,12841285.78,Some text
2017-06-20,economic,6437293.51,Some text
2017-06-21,economic,6436830.66,Some text
2017-06-23,economic,12893413.66,Some text
2017-06-26,economic,58549092.99,Some text
2017-06-27,economic,6545180.70,Some text
2017-06-28,economic,26239151.19,Some text
2017-06-29,economic,13140481.23,Some text
2017-06-30,economic,6576644.49,Some text
2017-07-03,economic,6590283.75,Some text
2017-07-05,economic,6606240.44,Some text
2017-07-06,economic,19815866.81,Some text
2017-07-09,economic,6604337.44,Some text
2017-07-10,economic,13215641.77,Some text
2017-07-12,economic,6607106.81,Some text
2017-07-13,economic,26449133.85,Some text
2017-07-14,economic,6622393.35,Some text
2017-07-17,economic,6659488.73,Some text
2017-07-18,economic,6686114.46,Some text
2017-07-19,economic,20118653.54,Some text
2017-07-20,economic,33758589.18,Some text
2017-07-21,economic,13588091.25,Some text
2017-07-24,economic,6826858.21,Some text
2017-07-25,economic,6826365.69,Some text
2017-07-26,economic,13651253.81,Some text
2017-07-31,economic,6824888.12,Some text
2017-08-03,economic,6824395.60,Some text
2017-08-04,economic,6823903.08,Some text
2017-08-07,economic,6823410.55,Some text
2017-08-08,economic,20596299.65,Some text
2017-08-11,economic,13825172.02,Some text
2017-08-14,economic,6930601.56,Some text
2017-08-17,economic,6930101.08,Some text
2017-08-18,economic,13858700.73,Some text
2017-08-20,economic,6928599.65,Some text
2017-08-22,economic,13855697.87,Some text
2017-08-23,economic,20780566.75,Some text
2017-08-24,economic,6926370.25,Some text
2017-08-28,economic,21206735.37,Some text
2017-08-29,economic,7128152.66,Some text
2017-08-30,economic,35855436.81,Some text
2017-08-31,economic,7226649.34,Some text
2017-09-04,economic,14465255.71,Some text
2017-09-05,economic,7231843.21,Some text
2017-09-06,economic,14462117.12,Some text
2017-09-07,economic,7230273.91,Some text
2017-09-08,economic,21723707.46,Some text
2017-09-11,economic,14514326.52,Some text
2017-09-13,economic,7256375.44,Some text
2017-09-14,economic,7268164.02,Some text
2017-09-15,economic,7278020.88,Some text
2017-09-18,economic,14554461.18,Some text
2017-09-19,economic,7276440.30,Some text
2017-09-25,economic,14723232.37,Some text
2017-09-26,economic,7446779.62,Some text
2017-10-02,economic,7446240.31,Some text
2017-10-03,economic,7445701.00,Some text
2017-10-04,economic,7454210.70,Some text
2017-10-05,economic,7453670.73,Some text
2017-10-09,economic,7453130.77,Some text
2017-10-11,economic,14904641.65,Some text
2017-10-12,economic,14925077.27,Some text
2017-10-13,economic,14984656.47,Some text
2017-10-16,economic,22640865.95,Some text
2017-10-17,economic,7570347.63,Some text
2017-10-18,economic,15153010.44,Some text
2017-10-20,economic,15244559.01,Some text
2017-10-23,economic,38134356.87,Some text
2017-10-24,economic,15263170.56,Some text
2017-10-27,economic,7636284.12,Some text
2017-10-30,economic,15270905.89,Some text
2017-10-31,economic,15307732.80,Some text
2017-11-01,economic,15323500.37,Some text
2017-11-02,economic,7662910.69,Some text
2017-11-03,economic,15351796.29,Some text
2017-11-07,economic,7675062.14,Some text
2017-11-08,economic,15360678.80,Some text
2017-11-10,economic,15438463.32,Some text
2017-11-14,economic,15478449.57,Some text
2017-11-15,economic,23276794.29,Some text
2017-11-16,economic,15592603.15,Some text
2017-11-17,economic,15600921.78,Some text
2017-11-21,economic,23459869.01,Some text
2017-11-22,economic,7880335.75,Some text
2017-11-23,economic,7879762.80,Some text
2017-11-24,economic,15791433.35,Some text
2017-11-28,economic,7911668.11,Some text
2017-11-29,economic,15852907.43,Some text
2017-11-30,economic,15850601.30,Some text
2017-12-01,economic,7924435.85,Some text
2017-12-04,economic,15995790.91,Some text
2017-12-05,economic,16058973.08,Some text
2017-12-08,economic,16122140.96,Some text
2017-12-09,economic,8060190.42,Some text
2017-12-13,economic,16144002.27,Some text
2017-12-14,economic,16141651.74,Some text
2017-12-15,economic,8104853.78,Some text
2017-12-18,economic,8109479.16,Some text
2017-12-19,economic,8123540.59,Some text
2017-12-20,economic,16349355.77,Some text
2017-12-21,economic,16394790.55,Some text
2018-01-09,economic,8199951.97,Some text
2018-01-10,economic,16398111.73,Some text
2018-01-17,economic,8198159.76,Some text
2018-01-18,economic,8206661.76,Some text
2018-01-19,economic,8206063.70,Some text
2018-01-21,economic,8205465.63,Some text
2018-01-22,economic,8228081.12,Some text
2018-01-24,economic,41295992.61,Some text
2018-01-25,economic,24802929.69,Some text
2018-01-29,economic,16532271.71,Some text
2018-01-31,economic,16540060.67,Some text
2018-02-05,economic,8269125.35,Some text
2018-02-06,economic,16536440.74,Some text
2018-02-07,economic,8267315.39,Some text
2018-02-08,economic,8274388.11,Some text
2018-02-12,economic,8281442.31,Some text
2018-02-13,economic,33123436.88,Some text
2018-02-14,economic,8286730.50,Some text
2018-02-20,economic,8293467.03,Some text
2018-02-22,economic,16598320.02,Some text
2018-02-26,economic,8298250.91,Some text
2018-03-01,economic,24905793.61,Some text
2018-03-02,economic,8367490.53,Some text
2018-03-03,economic,8366879.23,Some text
2018-03-05,economic,8392049.72,Some text
2018-03-06,economic,8399399.05,Some text
2018-03-07,economic,8416283.57,Some text
2018-03-09,economic,33837965.80,Some text
2018-03-13,economic,8467846.31,Some text
2018-03-14,economic,8504807.48,Some text
2018-03-15,economic,8504185.69,Some text
2018-03-16,economic,17145484.68,Some text
2018-03-20,economic,34296415.43,Some text
2018-03-21,economic,8572536.09,Some text
2018-03-22,economic,17175277.33,Some text
2018-03-23,economic,8624336.64,Some text
2018-03-27,economic,8659620.52,Some text
2018-04-03,economic,17421028.16,Some text
2018-04-04,economic,43833939.38,Some text
2018-04-05,economic,8791543.00,Some text
2018-04-10,economic,8790899.31,Some text
2018-04-13,economic,17601645.24,Some text
2018-04-16,economic,17708721.60,Some text
2018-04-20,economic,17720925.95,Some text
2018-04-23,economic,26587617.82,Some text
2018-04-24,economic,8865401.31,Some text
2018-04-25,economic,8864751.69,Some text
2018-04-30,economic,17727554.50,Some text
2018-05-02,economic,8889397.43,Some text
2018-05-03,economic,26730883.82,Some text
2018-05-08,economic,17873785.84,Some text
2018-05-09,economic,8935910.01,Some text
2018-05-10,economic,8946479.50,Some text
2018-05-14,economic,8945823.41,Some text
2018-05-16,economic,8994523.81,Some text
2018-05-17,economic,8996034.66,Some text
2018-05-18,economic,9003124.07,Some text
2018-05-24,economic,18037788.41,Some text
2018-05-29,economic,9019806.23,Some text
2018-05-30,economic,18394009.69,Some text
2018-05-31,economic,46480806.77,Some text
2018-06-05,economic,9341085.15,Some text
2018-06-06,economic,18711749.83,Some text
2018-06-13,economic,9493625.51,Some text
2018-06-14,economic,9492928.37,Some text
2018-06-15,economic,9492231.23,Some text
2018-06-19,economic,19002570.68,Some text
2018-06-20,economic,9528322.62,Some text
2018-06-21,economic,19054545.41,Some text
2018-06-25,economic,9526222.79,Some text
2018-06-26,economic,67011511.22,Some text
2018-06-29,economic,28894777.26,Some text
2018-07-02,economic,9637418.85,Some text
2018-07-05,economic,9668570.11,Some text
2018-07-09,economic,19335007.14,Some text
2018-07-11,economic,19332163.02,Some text
2018-07-12,economic,9665014.97,Some text
2018-07-13,economic,9689922.93,Some text
2018-07-16,economic,9689210.01,Some text
2018-07-23,economic,9688497.10,Some text
2018-07-24,economic,9687784.19,Some text
2018-07-27,economic,9687071.27,Some text
2018-07-31,economic,9686358.36,Some text
2018-08-01,economic,9685645.44,Some text
2018-08-02,economic,29172300.45,Some text
2018-08-03,economic,19469312.35,Some text
2018-08-09,economic,19515022.39,Some text
2018-08-14,economic,9756433.37,Some text
2018-08-15,economic,9755714.83,Some text
2018-08-27,economic,9754996.28,Some text
2018-08-28,economic,9754277.73,Some text
2018-08-31,economic,9753559.19,Some text
2018-09-03,economic,9803766.06,Some text
2018-09-06,economic,29467938.76,Some text
2018-09-07,economic,9831360.68,Some text
2018-09-12,economic,9872243.75,Some text
2018-09-17,economic,9871516.14,Some text
2018-09-21,economic,9899586.64,Some text
2018-09-24,economic,9898856.90,Some text
2018-09-26,economic,19795524.60,Some text
2018-09-28,economic,9896667.70,Some text
2018-10-01,economic,19841676.51,Some text
2018-10-09,economic,9919740.86,Some text
2018-10-17,economic,39685767.65,Some text
2018-10-19,economic,19928490.68,Some text
2018-10-24,economic,9963555.76,Some text
2018-10-26,economic,9962820.55,Some text
2018-10-29,economic,19958065.28,Some text
2018-10-30,economic,9995242.18,Some text
2018-10-31,economic,30104951.26,Some text
2018-11-05,economic,10054109.93,Some text
2018-11-07,economic,20105992.87,Some text
2018-11-09,economic,10051882.94,Some text
2018-11-12,economic,10067584.01,Some text
2018-11-15,economic,10066840.46,Some text
2018-11-19,economic,10066096.92,Some text
2018-11-22,economic,20175435.21,Some text
2018-11-26,economic,10086599.77,Some text
2018-11-27,economic,10094189.51,Some text
2018-11-29,economic,20230377.21,Some text
2018-12-07,economic,10136184.43,Some text
2018-12-10,economic,10135435.32,Some text
2018-12-11,economic,10145238.56,Some text
2018-12-12,economic,10157433.87,Some text
2018-12-18,economic,10156683.03,Some text
2018-12-19,economic,30465544.01,Some text
2018-12-20,economic,10153679.65,Some text
2018-12-21,economic,10152928.80,Some text
2018-12-24,economic,10152177.96,Some text
2019-01-01,economic,10151427.11,Some text
2019-01-08,economic,10150676.27,Some text
2019-01-09,economic,10149925.42,Some text
2019-01-14,economic,10149174.58,Some text
2019-01-17,economic,10164362.72,Some text
2019-01-21,economic,20334251.82,Some text
2019-01-25,economic,10178357.04,Some text
2019-01-30,economic,10177603.81,Some text
2019-01-31,economic,10176850.58,Some text
2019-02-04,economic,10176921.14,Some text
2019-02-05,economic,10176167.85,Some text
2019-02-07,economic,30544367.85,Some text
2019-02-08,economic,10179948.37,Some text
2019-02-11,economic,10179194.58,Some text
2019-02-12,economic,20356127.79,Some text
2019-02-14,economic,30553930.26,Some text
2019-02-15,economic,10200061.97,Some text
2019-02-19,economic,51038954.42,Some text
2019-02-26,economic,20423613.79,Some text
2019-03-01,economic,10367986.32,Some text
2019-03-04,economic,10377579.88,Some text
2019-03-05,economic,10376810.55,Some text
2019-03-06,economic,10376041.21,Some text
2019-03-07,economic,20787980.42,Some text
2019-03-11,economic,20831093.18,Some text
2019-03-18,economic,20887069.13,Some text
2019-03-20,economic,10445569.17,Some text
2019-03-21,economic,10444794.28,Some text
2019-03-25,economic,10444019.39,Some text
2019-03-27,economic,10461506.01,Some text
2019-03-28,economic,10465294.80,Some text
2019-03-29,economic,20928259.84,Some text
2019-04-02,economic,20944301.80,Some text
2019-04-04,economic,10480558.76,Some text
2019-04-10,economic,10479780.75,Some text
2019-04-11,economic,10496453.58,Some text
2019-04-12,economic,10495674.27,Some text
2019-04-16,economic,10499456.96,Some text
2019-04-17,economic,10498677.32,Some text
2019-04-18,economic,42150096.62,Some text
2019-04-23,economic,10543547.87,Some text
2019-04-29,economic,10577002.74,Some text
2019-05-02,economic,10576216.93,Some text
2019-05-07,economic,10575431.12,Some text
2019-05-10,economic,21228448.35,Some text
2019-05-15,economic,21249180.47,Some text
2019-05-17,economic,10629195.93,Some text
2019-05-24,economic,10628405.83,Some text
